PeakID (cmd=annotatePeaks.pl filtered_anova.tsv mm10 -go filtered_anova_anno_go -annStats filtered_anova_anno.stats)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-525	chr5	15514606	15514605	-	1	NA	Intergenic	L1Md_F2|LINE|L1	14617	NM_001310449	100861755		NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
1-220	chr14	64452579	64452578	+	1	NA	intron (NM_026322, intron 3 of 10)	intron (NM_026322, intron 3 of 10)	3325	NM_026322	110265		NM_026322	ENSMUSG00000054733	Msra	2310045J23Rik|6530413P12Rik|MSR-A	methionine sulfoxide reductase A	protein-coding
1-581	chr5	101674405	101674404	-	1	NA	Intergenic	L1Md_F2|LINE|L1	-9693	NM_144955	18096		NM_144955	ENSMUSG00000035187	Nkx6-1	NKX6A|Nkx6.1	NK6 homeobox 1	protein-coding
1-641	chr7	130443539	130443538	-	1	NA	intron (NM_001136054, intron 10 of 11)	MERVL-int|LTR|ERVL	76042	NM_013799	11907		NM_013799	ENSMUSG00000030850	Ate1	-	arginyltransferase 1	protein-coding
1-54	chr1	88262171	88262170	-	1	NA	TTS (NR_040291)	TTS (NR_040291)	7238	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-475	chr5	14997757	14997756	+	1	NA	Intergenic	Intergenic	-18857	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-588	chr5	145675985	145675984	+	1	NA	Intergenic	IAP1-MM_I-int|LTR|ERVK	44152	NM_017396	53973		NM_017396	ENSMUSG00000075551	Cyp3a41a	Cyp3a41	cytochrome P450, family 3, subfamily a, polypeptide 41A	protein-coding
1-510	chr5	15461620	15461619	-	1	NA	Intergenic	Intergenic	14917	NM_001374725	100861702		NM_001374725	ENSMUSG00000099762	Gm21149	-	predicted gene, 21149	protein-coding
1-135	chr11	16961903	16961902	-	1	NA	Intergenic	IAPLTR2_Mm|LTR|ERVK	10492	NM_176982	319701		NM_176982	ENSMUSG00000044966	Fbxo48	A630050E13Rik	F-box protein 48	protein-coding
1-307	chr19	44982834	44982833	-	1	NA	3' UTR (NM_001081225, exon 20 of 20)	3' UTR (NM_001081225, exon 20 of 20)	1717	NR_040294	73894		NR_040294	ENSMUSG00000118204	4930414N06Rik	-	RIKEN cDNA 4930414N06 gene	ncRNA
1-201	chr13	119494906	119494905	-	1	NA	intron (NM_001370626, intron 2 of 2)	B2_Mm1t|SINE|B2	6432	NM_001370627	633640		NM_001039244	ENSMUSG00000074634	Tmem267	EG633640|Gm7120	transmembrane protein 267	protein-coding
1-365	chr4	61854158	61854157	+	1	NA	Intergenic	L1_Mus4|LINE|L1	-18977	NM_008649	17844		NM_008649	ENSMUSG00000058523	Mup5	Mup18	major urinary protein 5	protein-coding
1-229	chr15	56034046	56034045	-	1	NA	Intergenic	MuRRS-int|LTR|ERV1	-127096	NM_016667	20649		NM_016667	ENSMUSG00000060429	Sntb1	-	syntrophin, basic 1	protein-coding
1-608	chr6	23460381	23460380	-	1	NA	intron (NM_001252107, intron 8 of 13)	(CTGTG)n|Simple_repeat|Simple_repeat	189925	NM_198251	386611		NM_198251	ENSMUSG00000051956	Rnf133	Greul2	ring finger protein 133	protein-coding
1-466	chr5	14979827	14979826	+	1	NA	promoter-TSS (NM_001281514)	promoter-TSS (NM_001281514)	-927	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-347	chr3	121313826	121313825	-	1	NA	intron (NM_024178, intron 2 of 3)	intron (NM_024178, intron 2 of 3)	22085	NM_024178	66789		NM_024178	ENSMUSG00000039887	Alg14	5430428G01Rik	asparagine-linked glycosylation 14	protein-coding
1-499	chr5	15060188	15060187	-	1	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-27180	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-279	chr17	34969039	34969038	-	1	NA	TTS (NM_010479)	TTS (NM_010479)	3118	NM_010479	193740		NM_010479	ENSMUSG00000091971	Hspa1a	Hsp70-3|Hsp70.3|Hsp72|hsp68|hsp70A1	heat shock protein 1A	protein-coding
1-106	chr10	129391056	129391055	+	1	NA	Intergenic	IAPEz-int|LTR|ERVK	3420	NM_146729	258724		NM_146729	ENSMUSG00000094347	Or6c208	MOR110-3|Olfr784	olfactory receptor family 6 subfamily C member 208	protein-coding
1-503	chr5	15061516	15061515	+	1	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-28508	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-679	chr9	3029060	3029059	+	1	NA	Intergenic	GSAT_MM|Satellite|Satellite	9684	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
1-437	chr4	147504358	147504357	-	1	NA	intron (NM_001365422, intron 1 of 3)	L1Md_F2|LINE|L1	-3241	NM_001039209	195531		NM_001039209	ENSMUSG00000078496	Zfp982	Gm13152	zinc finger protein 982	protein-coding
1-226	chr15	36720015	36720014	-	1	NA	Intergenic	RLTR11A|LTR|ERVK	70918	NM_001253807	22631		NM_011740	ENSMUSG00000022285	Ywhaz	1110013I11Rik|14-3-3zeta	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	protein-coding
1-592	chr5	145687153	145687152	-	1	NA	Intergenic	L1Md_F2|LINE|L1	32984	NM_017396	53973		NM_017396	ENSMUSG00000075551	Cyp3a41a	Cyp3a41	cytochrome P450, family 3, subfamily a, polypeptide 41A	protein-coding
1-496	chr5	15051446	15051445	+	1	NA	Intergenic	B1F|SINE|Alu	-18438	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-193	chr13	119488357	119488356	+	1	NA	promoter-TSS (NM_001177666)	promoter-TSS (NM_001177666)	28	NR_027974	67304		NM_026084	ENSMUSG00000074635	3110070M22Rik	-	RIKEN cDNA 3110070M22 gene	ncRNA
1-519	chr5	15507770	15507769	+	1	NA	Intergenic	Intergenic	21453	NM_001310449	100861755		NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
1-102	chr10	86073610	86073609	-	1	NA	intron (NM_013722, intron 8 of 13)	B3A|SINE|B2	-22245	NR_038024	78170		NR_038024	ENSMUSG00000112493	4930486F22Rik	-	RIKEN cDNA 4930486F22 gene	ncRNA
1-120	chr11	3143952	3143951	+	0.97489539748954	NA	intron (NM_030207, intron 18 of 32)	intron (NM_030207, intron 18 of 32)	19949	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-697	chrX	169979069	169979068	+	0.972222222222222	NA	promoter-TSS (NR_029457)	promoter-TSS (NR_029457)	-151	NR_029457	654820		NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
1-543	chr5	15680644	15680643	+	0.964285714285714	NA	promoter-TSS (NR_001585)	promoter-TSS (NR_001585)	-67	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-192	chr13	119488353	119488352	+	0.961538461538462	NA	promoter-TSS (NM_001177666)	promoter-TSS (NM_001177666)	32	NR_027974	67304		NM_026084	ENSMUSG00000074635	3110070M22Rik	-	RIKEN cDNA 3110070M22 gene	ncRNA
1-191	chr13	119488350	119488349	+	0.958333333333333	NA	promoter-TSS (NM_001177666)	promoter-TSS (NM_001177666)	35	NR_027974	67304		NM_026084	ENSMUSG00000074635	3110070M22Rik	-	RIKEN cDNA 3110070M22 gene	ncRNA
1-58	chr1	88262396	88262395	-	0.958333333333333	NA	TTS (NM_001281466)	TTS (NM_001281466)	7013	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-691	chrX	31738573	31738572	+	0.956521739130435	NA	Intergenic	L1Md_F2|LINE|L1	-223472	NM_029106	74851		NM_029106		Spin2-ps1	Gm14354	spindlin family, member 2, pseudogene 1	protein-coding
1-125	chr11	3167670	3167669	+	0.954545454545455	NA	intron (NM_001363224, intron 9 of 28)	RLTR21|LTR|ERVK	25934	NM_030207	78887		NM_030207	ENSMUSG00000023764	Sfi1	-	Sfi1 homolog, spindle assembly associated (yeast)	protein-coding
1-187	chr13	119488334	119488333	+	0.952380952380952	NA	promoter-TSS (NM_001177666)	promoter-TSS (NM_001177666)	51	NR_027974	67304		NM_026084	ENSMUSG00000074635	3110070M22Rik	-	RIKEN cDNA 3110070M22 gene	ncRNA
1-564	chr5	32739322	32739321	+	0.951807228915663	NA	exon (NM_177298, exon 4 of 8)	exon (NM_177298, exon 4 of 8)	7021	NM_001347332	320951		NM_177298	ENSMUSG00000023452	Pisd	9030221M09Rik	phosphatidylserine decarboxylase	protein-coding
1-256	chr17	3082670	3082669	+	0.951219512195122	NA	intron (NR_003519, intron 1 of 7)	intron (NR_003519, intron 1 of 7)	1514	NR_003519	328734		NR_003519		Pisd-ps2	D030013I16Rik	phosphatidylserine decarboxylase, pseudogene 2	pseudo
1-265	chr17	13238094	13238093	-	0.95	NA	TTS (NM_001167913)	TTS (NM_001167913)	7830	NM_001167913	236574		NM_001167913	ENSMUSG00000073457	Smok2b	Gm1847|Smok+129	sperm motility kinase 2B	protein-coding
1-115	chr11	3129106	3129105	+	0.946428571428571	NA	non-coding (NR_003517, exon 4 of 7)	non-coding (NR_003517, exon 4 of 7)	5103	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-369	chr4	122038491	122038490	+	0.944444444444444	NA	Intergenic	MuRRS4-int|LTR|ERV1	-117657	NM_001378656	666931		NM_001378656		Gm10573	-	predicted gene 10573	protein-coding
1-589	chr5	145678199	145678198	+	0.941176470588235	NA	Intergenic	Intergenic	41938	NM_017396	53973		NM_017396	ENSMUSG00000075551	Cyp3a41a	Cyp3a41	cytochrome P450, family 3, subfamily a, polypeptide 41A	protein-coding
1-460	chr5	14973476	14973475	+	0.941176470588235	NA	intron (NR_001584, intron 2 of 3)	intron (NR_001584, intron 2 of 3)	5424	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-723	chrY	90800261	90800260	+	0.941176470588235	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	14818	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-468	chr5	14989824	14989823	-	0.9375	NA	Intergenic	MTEa|LTR|ERVL-MaLR	-10924	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-259	chr17	13193182	13193181	-	0.9375	NA	Intergenic	RLTR10A|LTR|ERVK	-11861	NR_033458	100038394		NR_033458	ENSMUSG00000117051	Gm10512	-	predicted gene 10512	ncRNA
1-462	chr5	14974285	14974284	+	0.9375	NA	TTS (NM_001281514)	TTS (NM_001281514)	4615	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-654	chr8	19717573	19717572	-	0.9375	NA	Intergenic	Intergenic	-12004	NM_001270553	100861668		NM_001270553	ENSMUSG00000095294	Potefam3b	Gm21119|Pote3b	POTE ankyrin domain family member 3B	protein-coding
1-117	chr11	3133526	3133525	+	0.934782608695652	NA	intron (NM_001363224, intron 25 of 28)	PB1D10|SINE|Alu	9523	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
