PeakID (cmd=annotatePeaks.pl filtered_anova_cluster3.tsv mm10 -go filtered_anova_cluster3_anno_go -annStats filtered_anova_cluster3_anno.stats)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-17	chr16	11144253	11144252	-	0.390243902439024	NA	intron (NR_027502, intron 19 of 22)	LSU-rRNA_Hsa|rRNA|rRNA	-9720	NM_029582	106200		NM_029582	ENSMUSG00000022498	Txndc11	2810408E11Rik|EFP1|Txdc11	thioredoxin domain containing 11	protein-coding
1-13	chr13	9834400	9834399	+	0.328571428571429	NA	Intergenic	L1Md_T|LINE|L1	-69078	NM_001199141	66505		NM_144516	ENSMUSG00000021156	Zmynd11	2210402G22Rik|BS69	zinc finger, MYND domain containing 11	protein-coding
1-11	chr13	9834366	9834365	+	0.304347826086957	NA	Intergenic	L1Md_T|LINE|L1	-69044	NM_001199141	66505		NM_144516	ENSMUSG00000021156	Zmynd11	2210402G22Rik|BS69	zinc finger, MYND domain containing 11	protein-coding
1-14	chr13	9834446	9834445	+	0.263157894736842	NA	Intergenic	L1Md_T|LINE|L1	-69124	NM_001199141	66505		NM_144516	ENSMUSG00000021156	Zmynd11	2210402G22Rik|BS69	zinc finger, MYND domain containing 11	protein-coding
1-29	chr9	3028768	3028767	-	0.25	NA	Intergenic	GSAT_MM|Satellite|Satellite	9976	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
1-25	chr8	15519944	15519943	+	0.243243243243243	NA	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	462290	NM_008664	17930		NM_008664	ENSMUSG00000031461	Myom2	-	myomesin 2	protein-coding
1-3	chr1	171063941	171063940	+	0.228571428571429	NA	TTS (NR_106103)	TTS (NR_106103)	712	NR_106103	102466998		NR_106103	ENSMUSG00000118979	Mir6546	Gm27408|mmu-mir-6546	microRNA 6546	ncRNA
1-16	chr13	119617351	119617350	-	0.2	NA	Intergenic	Intergenic	-6469	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-10	chr13	9834342	9834341	+	0.19047619047619	NA	Intergenic	L1Md_T|LINE|L1	-69020	NM_001199141	66505		NM_144516	ENSMUSG00000021156	Zmynd11	2210402G22Rik|BS69	zinc finger, MYND domain containing 11	protein-coding
1	chr1	85082597	85082596	+	0.151515151515152	NA	Intergenic	Intergenic	-23497	NR_163968	621875		NM_001037910	ENSMUSG00000072109	A530040E14Rik	-	RIKEN cDNA A530040E14 gene	ncRNA
1-7	chr1	171065945	171065944	+	0.113636363636364	NA	Intergenic	CpG	-1292	NR_106103	102466998		NR_106103	ENSMUSG00000118979	Mir6546	Gm27408|mmu-mir-6546	microRNA 6546	ncRNA
1-24	chr5	146261315	146261314	-	0.0625	NA	intron (NM_001359990, intron 2 of 12)	LSU-rRNA_Hsa|rRNA|rRNA	30064	NM_001359991	264064		NM_153599	ENSMUSG00000029635	Cdk8	-	cyclin dependent kinase 8	protein-coding
1-26	chr8	15519950	15519949	-	0.03125	NA	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	462296	NM_008664	17930		NM_008664	ENSMUSG00000031461	Myom2	-	myomesin 2	protein-coding
1-4	chr1	171065452	171065451	-	0	NA	promoter-TSS (NR_106103)	promoter-TSS (NR_106103)	-799	NR_106103	102466998		NR_106103	ENSMUSG00000118979	Mir6546	Gm27408|mmu-mir-6546	microRNA 6546	ncRNA
1-6	chr1	171065876	171065875	-	0	NA	Intergenic	CpG	-1223	NR_106103	102466998		NR_106103	ENSMUSG00000118979	Mir6546	Gm27408|mmu-mir-6546	microRNA 6546	ncRNA
1-5	chr1	171065455	171065454	-	0	NA	promoter-TSS (NR_106103)	promoter-TSS (NR_106103)	-802	NR_106103	102466998		NR_106103	ENSMUSG00000118979	Mir6546	Gm27408|mmu-mir-6546	microRNA 6546	ncRNA
1-21	chr4	146239637	146239636	+	0	NA	Intergenic	CpG	-30749	NM_001083918	666532		NM_001083918	ENSMUSG00000067916	Zfp991	Gm13139	zinc finger protein 991	protein-coding
1-22	chr4	147087022	147087021	+	0	NA	Intergenic	CpG	-18585	NR_045446	71270		NR_045446	ENSMUSG00000093617	4933438K21Rik	-	RIKEN cDNA 4933438K21 gene	ncRNA
1-27	chr8	15519962	15519961	-	0	NA	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	462308	NM_008664	17930		NM_008664	ENSMUSG00000031461	Myom2	-	myomesin 2	protein-coding
1-23	chr5	15659141	15659140	-	0	NA	Intergenic	Intergenic	-2081	NR_073011	381715		NR_073011	ENSMUSG00000069720	Speer4c2	4930572O03Rik	spermatogenesis associated glutamate (E)-rich protein 4C2	pseudo
