PeakID (cmd=annotatePeaks.pl filtered_anova_cluster5.tsv mm10 -go filtered_anova_cluster5_anno_go -annStats filtered_anova_cluster5_anno.stats)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-31	chr4	147258756	147258755	+	0.409090909090909	NA	intron (NM_001378742, intron 1 of 4)	MMSAT4|Satellite|Satellite	-46849	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-77	chr6	3183908	3183907	+	0.392857142857143	NA	Intergenic	Intergenic	-104612	NR_036696	667335		NR_036696	ENSMUSG00000106779	Gm8579	EG667335	spermatogenesis associated glutamate (E)-rich protein 4a pseudogene	pseudo
1-15	chr17	39844638	39844637	+	0.381981981981982	NA	non-coding (NR_046233, exon 1 of 1)	non-coding (NR_046233, exon 1 of 1)	1640	NR_046233	100861531		NR_046233		Rn45s	-	45S pre-ribosomal RNA	rRNA
1-69	chr5	15681823	15681822	+	0.375	NA	intron (NR_001585, intron 1 of 4)	RLTR10C|LTR|ERVK	1112	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-86	chrX	170736159	170736158	+	0.375	NA	Intergenic	Intergenic	63514	NM_001199212	107626		NM_001199212	ENSMUSG00000093806	Asmt	Hiomt	acetylserotonin O-methyltransferase	protein-coding
1-5	chr12	20227000	20226999	-	0.358490566037736	NA	Intergenic	MMERGLN-int|LTR|ERV1	588780	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-78	chr6	3201556	3201555	-	0.345454545454545	NA	Intergenic	SSU-rRNA_Hsa|rRNA|rRNA	-86964	NR_036696	667335		NR_036696	ENSMUSG00000106779	Gm8579	EG667335	spermatogenesis associated glutamate (E)-rich protein 4a pseudogene	pseudo
1-47	chr5	15005814	15005813	+	0.333333333333333	NA	Intergenic	Intergenic	-26914	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-32	chr4	147268738	147268737	-	0.333333333333333	NA	intron (NM_001378742, intron 1 of 4)	IAPEY2_LTR|LTR|ERVK	-36867	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-9	chr14	104715878	104715877	-	0.333333333333333	NA	intron (NR_015593, intron 1 of 5)	LSU-rRNA_Hsa|rRNA|rRNA	76733	NR_015593	320249		NR_015593	ENSMUSG00000115432	D130009I18Rik	-	RIKEN cDNA D130009I18 gene	ncRNA
1-59	chr5	15512528	15512527	+	0.3	NA	Intergenic	RMER17A|LTR|ERVK	16695	NM_001310449	100861755		NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
1-83	chr8	15519859	15519858	-	0.229885057471264	NA	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	462205	NM_008664	17930		NM_008664	ENSMUSG00000031461	Myom2	-	myomesin 2	protein-coding
1-30	chr4	147141980	147141979	+	0.206896551724138	NA	intron (NM_001378742, intron 1 of 4)	L1_Mus3|LINE|L1	17097	NM_001378742	108168963		NM_001378742		Zfp978	Gm13145	zinc finger protein 978	protein-coding
1-19	chr18	68692099	68692098	+	0.206521739130435	NA	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	-47302	NR_105774	102465183		NR_105774	ENSMUSG00000099300	Mir6356	Gm27461|mmu-mir-6356	microRNA 6356	ncRNA
1-11	chr16	17222332	17222331	+	0.181818181818182	NA	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	-11256	NM_178922	58180		NM_178922	ENSMUSG00000050240	Hic2	HRG22|mKIAA1020	hypermethylated in cancer 2	protein-coding
1-17	chr17	39848816	39848815	-	0.163636363636364	NA	TTS (NR_046233)	TTS (NR_046233)	5818	NR_046233	100861531		NR_046233		Rn45s	-	45S pre-ribosomal RNA	rRNA
1-7	chr13	44869937	44869936	+	0.111111111111111	NA	intron (NM_021878, intron 4 of 18)	LSU-rRNA_Hsa|rRNA|rRNA	132160	NM_025772	94245		NM_025772	ENSMUSG00000057531	Dtnbp1	5430437B18Rik|Bloc1s8|dysbindin|sdy	dystrobrevin binding protein 1	protein-coding
1	chr1	171064044	171064043	-	0.0714285714285714	NA	TTS (NR_106103)	TTS (NR_106103)	609	NR_106103	102466998		NR_106103	ENSMUSG00000118979	Mir6546	Gm27408|mmu-mir-6546	microRNA 6546	ncRNA
1-55	chr5	15468820	15468819	+	0	NA	Intergenic	Intergenic	7717	NM_001374725	100861702		NM_001374725	ENSMUSG00000099762	Gm21149	-	predicted gene, 21149	protein-coding
1-45	chr5	14994672	14994671	+	0	NA	Intergenic	Intergenic	-15772	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-61	chr5	15517643	15517642	+	0	NA	Intergenic	Intergenic	11580	NM_001310449	100861755		NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
1-64	chr5	15611552	15611551	+	0	NA	Intergenic	Lx5c|LINE|L1	-7548	NM_025759	360220		NM_025759	ENSMUSG00000070933	Speer4d	4933431D05Rik|SPEER-4D	spermatogenesis associated glutamate (E)-rich protein 4D	protein-coding
1-75	chr5	94724332	94724331	-	0	NA	Intergenic	RLTR6-int|LTR|ERV1	137923	NM_001378724	108169097		NM_001378724	ENSMUSG00000094195	Pramel44	624507|Gm42117|Gm6509	PRAME like 44	protein-coding
1-38	chr5	14960488	14960487	-	0	NA	intron (NR_001584, intron 2 of 3)	intron (NR_001584, intron 2 of 3)	15193	NR_001584	74062		NR_001584		Speer8-ps1	4933405L09Rik|SPEER-8|Speer8-ps	spermatogenesis associated glutamate (E)-rich protein 8, pseudogene 1	pseudo
1-16	chr17	39845808	39845807	+	0	NA	non-coding (NR_046233, exon 1 of 1)	non-coding (NR_046233, exon 1 of 1)	2810	NR_046233	100861531		NR_046233		Rn45s	-	45S pre-ribosomal RNA	rRNA
1-82	chr6	48236804	48236803	+	0	NA	intron (NR_152250, intron 1 of 4)	L1Md_T|LINE|L1	-150210	NM_001362062	69228		NM_001163475	ENSMUSG00000057691	Zfp746	2810407L07Rik|Znf746	zinc finger protein 746	protein-coding
1-62	chr5	15524759	15524758	+	0	NA	3' UTR (NM_001310449, exon 5 of 5)	3' UTR (NM_001310449, exon 5 of 5)	4464	NM_001310449	100861755		NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
1-13	chr17	13423181	13423180	+	0	NA	Intergenic	Intergenic	68608	NM_001167578	100041352		NM_001167578	ENSMUSG00000052469	Tcp10c	D17Leh66C|D17Leh66ca|Gm9880|T66C-a|Tcp-10c	t-complex protein 10c	protein-coding
1-46	chr5	14994758	14994757	+	0	NA	Intergenic	B1F|SINE|Alu	-15858	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-56	chr5	15483949	15483948	+	0	NA	Intergenic	L1_Mus3|LINE|L1	-7412	NM_001374725	100861702		NM_001374725	ENSMUSG00000099762	Gm21149	-	predicted gene, 21149	protein-coding
1-4	chr11	12861936	12861935	-	0	NA	Intergenic	L1_Mus3|LINE|L1	-396975	NM_172496	12808		NM_172496	ENSMUSG00000020173	Cobl	-	cordon-bleu WH2 repeat	protein-coding
1-27	chr4	146474983	146474982	-	0	NA	Intergenic	CpG	25952	NM_001085522	433791		NM_001085522	ENSMUSG00000070605	Zfp992	Gm13251	zinc finger protein 992	protein-coding
1-43	chr5	14974520	14974519	-	0	NA	TTS (NM_001281514)	TTS (NM_001281514)	4380	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-53	chr5	15061394	15061393	+	0	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-28386	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-60	chr5	15514221	15514220	+	0	NA	Intergenic	L1_Mm|LINE|L1	15002	NM_001310449	100861755		NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
1-68	chr5	15677832	15677831	-	0	NA	Intergenic	L1Md_T|LINE|L1	-2879	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-57	chr5	15507438	15507437	+	0	NA	Intergenic	Intergenic	21785	NM_001310449	100861755		NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
1-26	chr4	145844704	145844703	+	0	NA	Intergenic	Intergenic	7484	NR_033612	236069		NR_033612	ENSMUSG00000096233	Gm13238	-	carnitine deficiency-associated gene expressed in ventricle 3 pseudogene	pseudo
1-73	chr5	15690418	15690417	+	0	NA	intron (NR_001585, intron 1 of 4)	intron (NR_001585, intron 1 of 4)	9707	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-23	chr4	61838351	61838350	+	0	NA	Intergenic	RLTR45|LTR|ERVK	-3170	NM_008649	17844		NM_008649	ENSMUSG00000058523	Mup5	Mup18	major urinary protein 5	protein-coding
1-22	chr3	106257195	106257194	-	0	NA	Intergenic	ERVB4_1B-I_MM-int|LTR|ERVK	-37715	NM_145126	104183		NM_145126	ENSMUSG00000063779	Chil4	Chi3l4|Ym2	chitinase-like 4	protein-coding
1-72	chr5	15687363	15687362	-	0	NA	intron (NR_001585, intron 1 of 4)	MMERVK10C-int|LTR|ERVK	6652	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-29	chr4	146475007	146475006	-	0	NA	Intergenic	CpG	25976	NM_001085522	433791		NM_001085522	ENSMUSG00000070605	Zfp992	Gm13251	zinc finger protein 992	protein-coding
1-65	chr5	15630880	15630879	+	0	NA	Intergenic	B1_Mus2|SINE|Alu	11780	NM_025759	360220		NM_025759	ENSMUSG00000070933	Speer4d	4933431D05Rik|SPEER-4D	spermatogenesis associated glutamate (E)-rich protein 4D	protein-coding
1-24	chr4	61838356	61838355	+	0	NA	Intergenic	RLTR45|LTR|ERVK	-3175	NM_008649	17844		NM_008649	ENSMUSG00000058523	Mup5	Mup18	major urinary protein 5	protein-coding
1-21	chr2	99055712	99055711	+	0	NA	Intergenic	MERVL-int|LTR|ERVL	1588054	NM_001289744	241568		NM_178725	ENSMUSG00000050587	Lrrc4c	6430556C10Rik|NGL-1	leucine rich repeat containing 4C	protein-coding
1-71	chr5	15687213	15687212	-	0	NA	intron (NR_001585, intron 1 of 4)	MMERVK10C-int|LTR|ERVK	6502	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-18	chr18	20807660	20807659	-	0	NA	Intergenic	Intergenic	-61255	NM_019737	56386		NM_019737	ENSMUSG00000056124	B4galt6	-	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	protein-coding
1-36	chr5	14921220	14921219	-	0	NA	Intergenic	RMER6BA|LTR|ERVK	-6330	NM_198666	381714		NM_198666	ENSMUSG00000033219	Gm9758	-	predicted gene 9758	protein-coding
1-74	chr5	26004599	26004598	-	0	NA	exon (NM_001281519, exon 1 of 5)	exon (NM_001281519, exon 1 of 5)	129	NM_001281519	100038949		NM_001281519	ENSMUSG00000091049	Gm1979	-	predicted gene 1979	protein-coding
1-10	chr15	9900382	9900381	-	0	NA	Intergenic	L1_Mus3|LINE|L1	-151513	NM_177123	320277		NM_177123	ENSMUSG00000072663	Spef2	C230086A09Rik	sperm flagellar 2	protein-coding
1-42	chr5	14972066	14972065	-	0	NA	intron (NR_001584, intron 2 of 3)	Lx5c|LINE|L1	6834	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-52	chr5	15061284	15061283	+	0	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-28276	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-44	chr5	14994662	14994661	+	0	NA	Intergenic	Intergenic	-15762	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-51	chr5	15061233	15061232	+	0	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-28225	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-41	chr5	14971989	14971988	-	0	NA	intron (NR_001584, intron 2 of 3)	Lx5c|LINE|L1	6911	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-49	chr5	15051080	15051079	+	0	NA	Intergenic	Intergenic	-18072	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-37	chr5	14949034	14949033	+	0	NA	intron (NR_001584, intron 1 of 3)	ORR1A3|LTR|ERVL-MaLR	3739	NR_001584	74062		NR_001584		Speer8-ps1	4933405L09Rik|SPEER-8|Speer8-ps	spermatogenesis associated glutamate (E)-rich protein 8, pseudogene 1	pseudo
1-12	chr17	13205556	13205555	-	0	NA	non-coding (NR_033458, exon 1 of 1)	non-coding (NR_033458, exon 1 of 1)	513	NR_033458	100038394		NR_033458	ENSMUSG00000117051	Gm10512	-	predicted gene 10512	ncRNA
1-63	chr5	15591732	15591731	-	0	NA	Intergenic	Intergenic	14438	NM_001310450	105242399		NM_001310450	ENSMUSG00000096878	Gm21083	-	predicted gene, 21083	protein-coding
1-50	chr5	15054946	15054945	-	0	NA	Intergenic	RLTR10C|LTR|ERVK	-21938	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-40	chr5	14963795	14963794	-	0	NA	intron (NR_001584, intron 2 of 3)	intron (NR_001584, intron 2 of 3)	15105	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-66	chr5	15645082	15645081	-	0	NA	Intergenic	Intergenic	11978	NR_073011	381715		NR_073011	ENSMUSG00000069720	Speer4c2	4930572O03Rik	spermatogenesis associated glutamate (E)-rich protein 4C2	pseudo
1-8	chr14	19416971	19416970	+	0	NA	Intergenic	GSAT_MM|Satellite|Satellite	87925	NR_164364	100042024		NM_001374231	ENSMUSG00000094590	Gm3629	-	predicted gene 3629	protein-coding
1-28	chr4	146474988	146474987	-	0	NA	Intergenic	CpG	25957	NM_001085522	433791		NM_001085522	ENSMUSG00000070605	Zfp992	Gm13251	zinc finger protein 992	protein-coding
1-70	chr5	15687199	15687198	-	0	NA	intron (NR_001585, intron 1 of 4)	MMERVK10C-int|LTR|ERVK	6488	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-20	chr2	95796697	95796696	-	0	NA	Intergenic	L1Md_A|LINE|L1	-521473	NM_001289742	241568		NM_178725	ENSMUSG00000050587	Lrrc4c	6430556C10Rik|NGL-1	leucine rich repeat containing 4C	protein-coding
1-67	chr5	15653569	15653568	-	0	NA	non-coding (NR_073011, exon 4 of 5)	non-coding (NR_073011, exon 4 of 5)	3491	NR_073011	381715		NR_073011	ENSMUSG00000069720	Speer4c2	4930572O03Rik	spermatogenesis associated glutamate (E)-rich protein 4C2	pseudo
1-48	chr5	15007834	15007833	-	0	NA	Intergenic	Lx|LINE|L1	25174	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-58	chr5	15512395	15512394	+	0	NA	Intergenic	RMER17A|LTR|ERVK	16828	NM_001310449	100861755		NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
