PeakID (cmd=annotatePeaks.pl filtered_anova_cluster4.tsv mm10 -go filtered_anova_cluster4_anno_go -annStats filtered_anova_cluster4_anno.stats)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-13	chr17	13549682	13549681	+	0.7	NA	intron (NR_045436, intron 1 of 4)	intron (NR_045436, intron 1 of 4)	4413	NR_045436	72578		NR_045436	ENSMUSG00000117042	2700054A10Rik	-	RIKEN cDNA 2700054A10 gene	ncRNA
1-25	chr8	19713466	19713465	-	0.692307692307692	NA	Intergenic	URR1A|DNA|hAT-Charlie	-16111	NM_001039553	626415		NM_001039553	ENSMUSG00000096265	Potefam3e	4930467E23Rik|Pote3e|TSAP	POTE ankyrin domain family member 3E	protein-coding
1-20	chr5	14979822	14979821	+	0.692307692307692	NA	promoter-TSS (NM_001281514)	promoter-TSS (NM_001281514)	-922	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-17	chr4	146718581	146718580	-	0.68	NA	Intergenic	MMSAT4|Satellite|Satellite	-171707	NR_045468	67524		NR_045468	ENSMUSG00000086046	1700095A21Rik	-	RIKEN cDNA 1700095A21 gene	ncRNA
1	chr1	85251195	85251194	+	0.675675675675676	NA	intron (NM_001037909, intron 5 of 6)	intron (NM_001037909, intron 5 of 6)	19372	NM_175219	620078		NM_175219	ENSMUSG00000052477	Sp140l2	4930565N07Rik|C130026I21Rik	Sp140 nuclear body protein like 2	protein-coding
1-27	chr9	3009882	3009881	+	0.673469387755102	NA	Intergenic	GSAT_MM|Satellite|Satellite	28862	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
1-10	chr13	119596407	119596406	+	0.588235294117647	NA	intron (NM_001370626, intron 2 of 2)	intron (NM_001370626, intron 2 of 2)	-27413	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-5	chr1	88287857	88287856	+	0.583333333333333	NA	Intergenic	Intergenic	-10277	NM_198652	381280		NM_198652	ENSMUSG00000044783	Hjurp	6430706D22Rik|A730008H23Rik|C330011F01Rik|Gm975|Mfleg1	Holliday junction recognition protein	protein-coding
1-21	chr5	15037510	15037509	-	0.533333333333333	NA	Intergenic	ORR1A1-int|LTR|ERVL-MaLR	-4502	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-28	chr9	3018417	3018416	+	0.484848484848485	NA	Intergenic	GSAT_MM|Satellite|Satellite	20327	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
1-8	chr13	12836419	12836418	+	0.444444444444444	NA	Intergenic	L1_Mus1|LINE|L1	-36339	NM_011118	18812		NM_011118	ENSMUSG00000056457	Prl2c3	Ghd1|MRP-2|MRP-3|Mrpplf3|PLF-2|PLF-3|Plf2|Prl2c4|mrp/plf3	prolactin family 2, subfamily c, member 3	protein-coding
1-15	chr3	144657388	144657387	-	0.444444444444444	NA	Intergenic	L1Md_T|LINE|L1	62782	NM_001379172	54673		NM_019464	ENSMUSG00000037062	Sh3glb1	Bif-1|mKIAA0491	SH3-domain GRB2-like B1 (endophilin)	protein-coding
1-18	chr4	147227951	147227950	-	0.357142857142857	NA	intron (NM_001378742, intron 1 of 4)	RLTR40|LTR|ERVK	-77654	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-24	chr5	15681824	15681823	-	0.333333333333333	NA	intron (NR_001585, intron 1 of 4)	RLTR10C|LTR|ERVK	1113	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-19	chr4	147411344	147411343	-	0.272727272727273	NA	Intergenic	Lx2|LINE|L1	-31771	NM_001371349	195531		NM_001039209	ENSMUSG00000078496	Zfp982	Gm13152	zinc finger protein 982	protein-coding
1-23	chr5	15630274	15630273	-	0.142857142857143	NA	Intergenic	Intergenic	11174	NM_025759	360220		NM_025759	ENSMUSG00000070933	Speer4d	4933431D05Rik|SPEER-4D	spermatogenesis associated glutamate (E)-rich protein 4D	protein-coding
1-6	chr1	88301691	88301690	-	0.108108108108108	NA	Intergenic	Intergenic	-5045	NM_134252	171382		NM_134252	ENSMUSG00000036251	Trpm8	CMR1|LTRPC6|LTrpC-6|TRPP8|Trp-p8	transient receptor potential cation channel, subfamily M, member 8	protein-coding
1-22	chr5	15508275	15508274	-	0	NA	Intergenic	Intergenic	20948	NM_001310449	100861755		NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
